code,year_,freq,ITEM5601,ITEM6008,ITEM8001,ITEM9304
4709,2016,A,,CA8729481041,,
4729,2016,A,,,,
4740,2016,A,MPC,CA5579031017,196211473.15,0.7857
4745,2016,A,CCO,CA13321L1085,5556927008.9,1.05678
4746,2016,A,,,,
4747,2016,A,CCO,CA13321L1085,5556927022.9,1.05678
4785,2016,A,SCL,CA8204391079,2504948777,2.41523
4797,2016,A,,,,
4844,2016,A,L,CA5394811015,28394787991,2.18388
4870,2016,A,OVV,US69047Q1022,15375384920,1.86468
4919,2016,A,HLF,CA4296951094,616237106.1,2.05523
4921,2016,A,HLF,CA4296951094,616237106.1,2.05523
4922,2016,A,PRMW,CA74167P1080,2106584720,1.80204
4943,2016,A,,,,
4964,2016,A,MAXR,US57778K1051,2471740287.8,2.13311
4974,2016,A,,,,
4976,2016,A,CLH,CA2180022022,3826026.96,0.205
4997,2016,A,PD,CA74022D4075,2146508440.6,1.09398
5033,2016,A,NOVT,CA67000B1040,973989828,2.7953
5080,2016,A,,,,
5118,2016,A,,,,
5124,2016,A,ESI,CA2935701078,1440719758.7,0.78621
5131,2016,A,,,,
5179,2016,A,,,,
5237,2016,A,,CLP6243N1064,,
5344,2016,A,,CLP3058U1272,312063782210,
5454,2016,A,ECL,CL0001583070,1.1165084E12,0.86532
5483,2016,A,,,,
5503,2016,A,,,,
5551,2016,A,,,,
5719,2016,A,,,,
5731,2016,A,,,,
5749,2016,A,,,,
5752,2016,A,,,,
5767,2016,A,,,,
5785,2016,A,,,,
5859,2016,A,,,,
5977,2016,A,,,,
5984,2016,A,,,,
5998,2016,A,,,,
6008,2016,A,,,,
6030,2016,A,,,,
6060,2016,A,,,,
6073,2016,A,,,,
6097,2016,A,,,,
6151,2016,A,,,,
6182,2016,A,,,,
6188,2016,A,RTX,DK0010267129,1003157161,3.57551
6238,2016,A,,,,
6272,2016,A,,,,
6279,2016,A,,,,
6282,2016,A,,,,
6319,2016,A,,,,
6323,2016,A,,,,
6350,2016,A,,,,
6366,2016,A,TDC,DK0060228559,29082112793,1.55903
6367,2016,A,TDC,DK0060228559,29082112793,1.55903
6375,2016,A,,,,
6394,2016,A,TOWN,DK0015216675,13937012.208,-16.88734
6410,2016,A,,,,
6413,2016,A,,,,
6416,2016,A,,,,
6422,2016,A,SPG,DK0061027356,1483595994,3.4693
6434,2016,A,,,,
6437,2016,A,,,,
6445,2016,A,,,,
6450,2016,A,,,,
6473,2016,A,,,,
6474,2016,A,,,,
6475,2016,A,,,,
6480,2016,A,,,,
6523,2016,A,FLS,DK0010234467,14349300546,1.704
6524,2016,A,FLS,DK0010234467,14349300546,1.704
6561,2016,A,,,,
6588,2016,A,,,,
6604,2016,A,,,,
6615,2016,A,,,,
6642,2016,A,,,,
6656,2016,A,,,,
6729,2016,A,,DE0004834908,,
6805,2016,A,,,,
6820,2016,A,,,,
6877,2016,A,,,,
6881,2016,A,,,,
6884,2016,A,,,,
6887,2016,A,,,,
6889,2016,A,,,,
6899,2016,A,,,,
6905,2016,A,,,,
6908,2016,A,,,,
6980,2016,A,,,,
7025,2016,A,KN,FR0000120685,16805702149,0.92212
7053,2016,A,ESI,FR0004110310,133132930.8,1.46554
7083,2016,A,DG,FR0000125486,35883924740,2.17941
7172,2016,A,RF,FR0000121121,3737013939.7,0.83285
7191,2016,A,XPO,FR0000052870,2007317770,2.64955
7212,2016,A,ANF,FR0000063091,366590205,0.74175
7246,2016,A,,,,
7252,2016,A,,,,
7307,2016,A,FLO,FR0014004X25,26981860.472,2.56971
7387,2016,A,SBT,FR0000052680,426380507.78,2.28146
7428,2016,A,,,,
7447,2016,A,CNP,FR0000120222,12082343962,0.76624
7475,2016,A,AVT,FR001400CFI7,5485094.4,-0.12786
7508,2016,A,SOI,FR0013227113,134103375.25,-18.85576
7528,2016,A,,,,
