gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,costat,gind
031170,20161231,2016,INDL,C,D,STD,USAP,UNVL STAINLESS & ALLOY PRODS,USD,A,151040
031177,20161231,2016,INDL,C,D,STD,SVRA,SAVARA INC,USD,A,352010
031236,20161231,2016,INDL,C,D,STD,APPN,APPIAN CORP,USD,A,451030
031249,20161231,2016,INDL,C,D,STD,ALT,ALTIMMUNE INC,USD,A,352010
031295,20161231,2016,INDL,C,D,STD,FOCS,FOCUS FINANCL PRTNR INC,USD,A,402030
031368,20161231,2016,FS,C,D,STD,HAFC,HANMI FINANCIAL CORP,USD,A,401010
031368,20161231,2016,INDL,C,D,STD,HAFC,HANMI FINANCIAL CORP,USD,A,401010
031384,20161231,2016,INDL,C,D,STD,SMHI,SEACOR MARINE HLDGS INC,USD,A,101010
031386,20161231,2016,INDL,C,D,STD,AGS,PLAYAGS INC,USD,A,253010
031405,20161231,2016,INDL,C,D,STD,ATNX,ATHENEX INC,USD,A,352010
031453,20161231,2016,INDL,C,D,STD,NSIT,INSIGHT ENTERPRISES INC,USD,A,452030
031457,20161231,2016,INDL,C,D,STD,SSTI,SHOTSPOTTER INC,USD,A,451030
031460,20161231,2016,INDL,C,D,STD,RCII,RENT-A-CENTER INC,USD,A,255040
031466,20161231,2016,INDL,C,D,STD,WOW,WIDEOPENWEST INC,USD,A,502010
031477,20160930,2016,INDL,C,D,STD,AZTA,AZENTA INC,USD,A,352030
031507,20161231,2016,INDL,C,D,STD,NINE,NINE ENERGY SERVICE INC,USD,A,101010
031521,20160930,2016,FS,C,D,STD,SNEX,STONEX GROUP INC,USD,A,402030
031521,20160930,2016,INDL,C,D,STD,SNEX,STONEX GROUP INC,USD,A,402030
031542,20161231,2016,INDL,C,D,STD,CODX,CO-DIAGNOSTIC INC,USD,A,351010
031564,20161231,2016,INDL,C,D,STD,ACIW,ACI WORLDWIDE INC,USD,A,451030
031567,20160630,2016,INDL,C,D,STD,STRT,STRATTEC SECURITY CORP,USD,A,251010
031585,20161231,2016,FS,C,D,STD,BY,BYLINE BANCORP INC,USD,A,401010
031585,20161231,2016,INDL,C,D,STD,BY,BYLINE BANCORP INC,USD,A,401010
031587,20160131,2015,INDL,C,D,STD,DLTR,DOLLAR TREE INC,USD,A,255030
031606,20161231,2016,FS,C,D,STD,ESQ,ESQUIRE FINCL HOLD INC,USD,A,401010
031606,20161231,2016,INDL,C,D,STD,ESQ,ESQUIRE FINCL HOLD INC,USD,A,401010
031607,20161231,2016,INDL,C,D,STD,NATI,NATIONAL INSTRUMENTS CORP,USD,A,452030
031624,20161231,2016,INDL,C,D,STD,APRN,BLUE APRON HOLDNG INC,USD,A,301010
031628,20161231,2016,INDL,C,D,STD,MRSN,MERSANA THRPEUTIC INC,USD,A,352010
031629,20161231,2016,INDL,C,D,STD,RDI,READING INTL INC  -CL A,USD,A,502020
031673,20160930,2016,INDL,C,D,STD,ABC,AMERISOURCEBERGEN CORP,USD,A,351020
031718,20161231,2016,FS,C,D,STD,ATLO,AMES NATIONAL CORP,USD,A,401010
031718,20161231,2016,INDL,C,D,STD,ATLO,AMES NATIONAL CORP,USD,A,401010
031752,20161231,2016,INDL,C,D,STD,CBZ,CBIZ INC,USD,A,202020
031764,20161231,2016,FS,C,D,STD,BMRC,BANK OF MARIN BANCORP,USD,A,401010
031764,20161231,2016,INDL,C,D,STD,BMRC,BANK OF MARIN BANCORP,USD,A,401010
031774,20161231,2016,INDL,C,D,STD,BHF,BRIGHTHOUSE FINANL INC,USD,A,403010
031843,20161231,2016,INDL,C,D,STD,HLIT,HARMONIC INC,USD,A,452010
031846,20160531,2015,INDL,C,D,STD,DRI,DARDEN RESTAURANTS INC,USD,A,253010
031887,20160630,2016,INDL,C,D,STD,RMD,RESMED INC,USD,A,351010
031958,20161231,2016,INDL,C,D,STD,SAFE,SAFEHOLD INC,USD,A,601010
032018,20161231,2016,INDL,C,D,STD,KALA,KALA PHARMECUTICAL INC,USD,A,352020
032074,20161231,2016,INDL,C,D,STD,XELA,EXELA TECHNOLOGIES INC,USD,A,451020
032102,20161231,2016,INDL,C,D,STD,RDFN,REDFIN CORP,USD,A,601020
032106,20161231,2016,INDL,C,D,STD,BKR,BAKER HUGHES CO,USD,A,101010
032154,20161231,2016,INDL,C,D,STD,JBGS,JBG SMITH PPTYS,USD,A,601010
032193,20161231,2016,INDL,C,D,STD,CLXT,CALYXT INC,USD,A,352010
032219,20161231,2016,INDL,C,D,STD,PETQ,PETIQ INC,USD,A,351020
032253,20161231,2016,FS,C,D,STD,PDLB,PONCE FINANCIAL GROUP INC,USD,A,401020
032253,20161231,2016,INDL,C,D,STD,PDLB,PONCE FINANCIAL GROUP INC,USD,A,401020
