Area,2000Pop,2005Pop,2010Pop,fips
Knox County,39263,38543,38440,18083
Kosciusko County,74053,75934,77358,18085
LaGrange County,34789,36283,37128,18087
Lake County,484582,489530,496005,18089
LaPorte County,110099,109541,111467,18091
Lawrence County,45912,46233,46134,18093
Madison County,133322,130871,131636,18095
Marion County,860440,873310,903393,18097
Marshall County,45126,46549,47051,18099
Martin County,10367,10323,10334,18101
Miami County,36085,37445,36903,18103
Monroe County,120561,128121,137974,18105
Montgomery County,37629,38105,38124,18107
Morgan County,66705,68037,68894,18109
Newton County,14538,14485,14244,18111
Noble County,46468,47292,47536,18113
Ohio County,5568,5943,6128,18115
Orange County,19301,19744,19840,18117
Owen County,21781,21975,21575,18119
Parke County,17194,17396,17339,18121
Perry County,18887,19260,19338,18123
Pike County,12835,12879,12845,18125
Porter County,146806,156024,164343,18127
Posey County,27078,26488,25910,18129
Pulaski County,13626,13682,13402,18131
Putnam County,36060,37780,37963,18133
Randolph County,27411,26517,26171,18135
Ripley County,26508,28040,28818,18137
Rush County,18258,17826,17392,18139
St. Joseph County,265567,264863,266931,18141
Scott County,22976,23889,24181,18143
Shelby County,43380,43482,44436,18145
Spencer County,20385,20896,20952,18147
Starke County,23567,23394,23363,18149
Steuben County,33233,33926,34185,18151
Sullivan County,21736,21689,21475,18153
Switzerland County,9082,10165,10613,18155
Tippecanoe County,148954,158834,172780,18157
Tipton County,16601,16411,15936,18159
Union County,7341,7378,7516,18161
Vanderburgh County,171941,175769,179703,18163
Vermillion County,16790,16603,16212,18165
Vigo County,105859,105245,107848,18167
Wabash County,34968,33806,32888,18169
Warren County,8415,8626,8508,18171
Warrick County,52380,56066,59689,18173
Washington County,27204,27893,28262,18175
Wayne County,71087,69793,68917,18177
Wells County,27626,27820,27636,18179
White County,25264,24861,24643,18181
Whitley County,30617,32182,33292,18183
Iowa,2926538,2964454,3046355,19000
Adair County,8252,7932,7682,19001
Adams County,4479,4226,4029,19003
Allamakee County,14687,14371,14330,19005
Appanoose County,13715,13453,12887,19007
Audubon County,6826,6324,6119,19009
Benton County,25312,26265,26076,19011
Black Hawk County,127990,127021,131090,19013
Boone County,26206,26500,26306,19015
Bremer County,23361,23833,24276,19017
Buchanan County,21092,20831,20958,19019
Buena Vista County,20415,19970,20260,19021
Butler County,15307,14965,14867,19023
Calhoun County,11114,10228,9670,19025
Carroll County,21433,20973,20816,19027
Cass County,14689,14002,13956,19029
Cedar County,18181,18213,18499,19031
Cerro Gordo County,46454,44741,44151,19033
Cherokee County,13032,12380,12072,19035
Chickasaw County,13095,12561,12439,19037
Clarke County,9131,9180,9286,19039
Clay County,17369,16848,16667,19041
Clayton County,18667,18269,18129,19043
Clinton County,50159,49475,49116,19045
Crawford County,16945,16920,17096,19047
Dallas County,41109,53042,66135,19049
Davis County,8541,8583,8753,19051
Decatur County,8689,8618,8457,19053
Delaware County,18422,17955,17764,19055
Des Moines County,42359,40332,40325,19057
Dickinson County,16429,16644,16667,19059
Dubuque County,89133,90769,93653,19061
Emmet County,11022,10527,10302,19063
Fayette County,22020,21426,20880,19065
Floyd County,16898,16520,16303,19067
Franklin County,10700,10766,10680,19069
Fremont County,8008,7616,7441,19071
Greene County,10372,9800,9336,19073
Grundy County,12370,12406,12453,19075
Guthrie County,11348,11249,10954,19077
Hamilton County,16435,16261,15673,19079
Hancock County,12107,11834,11341,19081
Hardin County,18806,17974,17534,19083
Harrison County,15674,15362,14928,19085
Henry County,20353,20354,20145,19087
Howard County,9951,9760,9566,19089
Humboldt County,10384,10033,9815,19091
Ida County,7839,7369,7089,19093
Iowa County,15680,16297,16355,19095
Jackson County,20295,20124,19848,19097
Jasper County,37229,37482,36842,19099
Jefferson County,16180,16315,16843,19101
Johnson County,110983,120300,130882,19103
Jones County,20227,20605,20638,19105
Keokuk County,11405,10881,10511,19107
Kossuth County,17159,16287,15543,19109
Lee County,38062,36364,35862,19111
Linn County,191728,200395,211226,19113
Louisa County,12188,11862,11387,19115
Lucas County,9412,9462,8898,19117
Lyon County,11763,11677,11581,19119
Madison County,14012,14918,15679,19121
Mahaska County,22319,22454,22381,19123
Marion County,32048,32774,33309,19125
Marshall County,39332,39646,40648,19127
Mills County,14543,14905,15059,19129
Mitchell County,10877,10800,10776,19131
Monona County,10020,9566,9243,19133
Monroe County,8012,7955,7970,19135
Montgomery County,11775,11214,10740,19137
Muscatine County,41723,41894,42745,19139
O'Brien County,15096,14552,14398,19141
Osceola County,7003,6743,6462,19143
Page County,16982,16274,15932,19145
Palo Alto County,10143,9702,9421,19147
Plymouth County,24859,24980,24986,19149
Pocahontas County,8664,7835,7310,19151
Polk County,374258,399030,430640,19153
Pottawattamie County,87825,90198,93158,19155
Poweshiek County,18829,19002,18914,19157
Ringgold County,5469,5304,5131,19159
Sac County,11531,10716,10350,19161
Scott County,158705,158543,165224,19163
Shelby County,13064,12547,12167,19165
Sioux County,31596,32726,33704,19167
Story County,79988,82884,89542,19169
Tama County,18099,18197,17767,19171
Taylor County,6958,6534,6317,19173
Union County,12312,12143,12534,19175
Van Buren County,7800,7638,7570,19177
Wapello County,36067,35855,35625,19179
Warren County,40672,43339,46225,19181
Washington County,20679,21350,21704,19183
Wayne County,6732,6494,6403,19185
Webster County,40230,38562,38013,19187
Winnebago County,11717,11340,10866,19189
Winneshiek County,21291,21060,21056,19191
Woodbury County,103876,100589,102172,19193
Worth County,7904,7742,7598,19195
Wright County,14337,13717,13229,19197
Kansas,2688925,2745299,2853118,20000
Allen County,14394,13733,13371,20001
Anderson County,8108,8087,8102,20003
Atchison County,16787,16865,16924,20005
Barber County,5307,4984,4861,20007
Barton County,28200,27536,27674,20009
Bourbon County,15380,15002,15173,20011
Brown County,10728,10087,9984,20013
Butler County,59455,62547,65880,20015
Chase County,3030,2962,2790,20017
Chautauqua County,4359,3989,3669,20019
Cherokee County,22601,21750,21603,20021
Cheyenne County,3165,2880,2726,20023
Clark County,2395,2298,2215,20025
Clay County,8845,8444,8535,20027
Cloud County,10271,9741,9533,20029
Coffey County,8871,8622,8601,20031
Comanche County,1967,1931,1891,20033
Cowley County,36307,35928,36311,20035
Crawford County,38248,38638,39134,20037
Decatur County,3472,3128,2961,20039
Dickinson County,19327,19285,19754,20041
Doniphan County,8249,7868,7945,20043
Douglas County,99953,105681,110826,20045
Edwards County,3449,3194,3037,20047
Elk County,3261,3041,2882,20049
Ellis County,27506,27429,28452,20051
Ellsworth County,6524,6404,6497,20053
Finney County,40517,36754,36776,20055
Ford County,32452,32354,33848,20057
Franklin County,24784,25527,25992,20059
Geary County,27849,27099,34362,20061
Gove County,3074,2840,2695,20063
Graham County,2944,2762,2597,20065
Grant County,7905,7687,7829,20067
Gray County,5918,5882,6006,20069
Greeley County,1534,1299,1247,20071
Greenwood County,7663,7222,6689,20073
Hamilton County,2665,2590,2690,20075
Harper County,6537,6166,6034,20077
Harvey County,32885,33566,34684,20079
Haskell County,4307,4250,4256,20081
Hodgeman County,2081,2038,1916,20083
Jackson County,12650,13362,13462,20085
Jefferson County,18450,19159,19126,20087
Jewell County,3789,3271,3077,20089
Johnson County,451541,504441,544179,20091
Kearny County,4525,4147,3977,20093
Kingman County,8675,8249,7858,20095
Kiowa County,3278,3088,2553,20097
Labette County,22821,21913,21607,20099
Lane County,2155,1848,1750,20101
Leavenworth County,68684,71788,76227,20103
Lincoln County,3578,3443,3241,20105
Linn County,9541,10032,9656,20107
Logan County,3051,2881,2756,20109
Lyon County,35934,35936,33690,20111
McPherson County,29560,29375,29180,20113
Marion County,13358,13012,12660,20115
Marshall County,10967,10270,10117,20117
Meade County,4628,4586,4575,20119
Miami County,28340,30758,32787,20121
Mitchell County,6929,6443,6373,20123
Montgomery County,36267,35034,35471,20125
Morris County,6113,5947,5923,20127
Morton County,3494,3300,3233,20129
Nemaha County,10716,10367,10178,20131
Neosho County,16996,16591,16512,20133
Ness County,3452,3177,3107,20135
Norton County,5950,5765,5671,20137
Osage County,16713,16869,16295,20139
Osborne County,4452,4035,3858,20141
Ottawa County,6164,6097,6091,20143
Pawnee County,7235,7027,6973,20145
Phillips County,5995,5642,5642,20147
Pottawatomie County,18208,19444,21604,20149
Pratt County,9649,9618,9656,20151
Rawlins County,2966,2697,2519,20153
Reno County,64793,63778,64511,20155
Republic County,5831,5238,4980,20157
Rice County,10760,10396,10083,20159
Riley County,62954,64751,71115,20161
Rooks County,5685,5352,5181,20163
Rush County,3549,3384,3307,20165
Russell County,7374,6930,6970,20167
Saline County,53599,54361,55606,20169
Scott County,5120,4771,4936,20171
Sedgwick County,452901,467113,498365,20173
Seward County,22517,22334,22952,20175
Shawnee County,169879,171893,177934,20177
Sheridan County,2814,2618,2556,20179
Sherman County,6757,6155,6010,20181
Smith County,4538,4128,3853,20183
Stafford County,4789,4473,4437,20185
Stanton County,2406,2252,2235,20187
Stevens County,5465,5592,5724,20189
Sumner County,25944,24795,24132,20191
Thomas County,8174,7768,7900,20193
Trego County,3311,3025,3001,20195
Wabaunsee County,6876,6925,7053,20197
Wallace County,1749,1531,1485,20199
Washington County,6458,6022,5799,20201
Wichita County,2531,2361,2234,20203
Wilson County,10341,9772,9409,20205
Woodson County,3788,3523,3309,20207
Wyandotte County,157924,154356,157505,20209
Kentucky,4042193,4182742,4339367,21000
Adair County,17275,18128,18656,21001
Allen County,17792,18910,19956,21003
Anderson County,19093,19987,21421,21005
Ballard County,8293,8269,8249,21007
Barren County,38045,40320,42173,21009
Bath County,11099,11538,11591,21011
Bell County,30049,29130,28691,21013
Boone County,86051,105456,118811,21015
Bourbon County,19360,19908,19985,21017
Boyd County,49721,49403,49542,21019
Boyle County,27676,27922,28432,21021
Bracken County,8276,8533,8488,21023
Breathitt County,16089,14792,13878,21025
Breckinridge County,18633,19579,20059,21027
Bullitt County,61178,68620,74319,21029
Butler County,12981,12900,12690,21031
Caldwell County,13057,12816,12984,21033
Calloway County,34182,35788,37191,21035
Campbell County,88627,88047,90336,21037
Carlisle County,5349,5215,5104,21039
Carroll County,10170,10511,10811,21041
Carter County,26879,27767,27720,21043
Casey County,15450,15845,15955,21045
Christian County,72402,72892,73955,21047
Clark County,33180,34377,35613,21049
Clay County,24586,22946,21730,21051
Clinton County,9622,9932,10272,21053
Crittenden County,9384,9138,9315,21055
Cumberland County,7150,7066,6856,21057
Daviess County,91542,93150,96656,21059
Edmonson County,11632,11987,12161,21061
Elliott County,6747,6867,7852,21063
Estill County,15315,14780,14672,21065
Fayette County,260527,275540,295803,21067
Fleming County,13787,14270,14348,21069
Floyd County,42451,40847,39451,21071
Franklin County,47703,48620,49285,21073
Fulton County,7755,7090,6813,21075
Gallatin County,7845,8225,8589,21077
Garrard County,14783,16315,16912,21079
Grant County,22350,23993,24662,21081
Graves County,37024,36926,37121,21083
Grayson County,24037,25181,25746,21085
Green County,11499,11406,11258,21087
Greenup County,36927,36530,36910,21089
Hancock County,8395,8508,8565,21091
Hardin County,92629,96652,105543,21093
Harlan County,33192,30277,29278,21095
Harrison County,17956,18314,18846,21097
Hart County,17459,18040,18199,21099
Henderson County,44837,45521,46250,21101
Henry County,15010,15368,15416,21103
Hickman County,5254,5061,4902,21105
Hopkins County,46519,46640,46920,21107
Jackson County,13492,13596,13494,21109
Jefferson County,693775,710018,741096,21111
Jessamine County,39043,43503,48586,21113
Johnson County,23443,23332,23356,21115
Kenton County,151449,153769,159720,21117
Knott County,17650,17089,16346,21119
Knox County,31739,31570,31883,21121
Larue County,13363,13793,14193,21123
Laurel County,52712,56465,58849,21125
Lawrence County,15558,15756,15860,21127
Lee County,7915,7823,7887,21129
Leslie County,12411,11797,11310,21131
Letcher County,25261,24585,24519,21133
Lewis County,14078,13861,13870,21135
Lincoln County,23325,24719,24742,21137
Livingston County,9806,9650,9519,21139
Logan County,26593,26721,26835,21141
Lyon County,8081,8327,8314,21143
McCracken County,65511,64430,65565,21145
McCreary County,17078,17758,18306,21147
McLean County,9942,9811,9531,21149
Madison County,70916,78732,82916,21151
Magoffin County,13334,13302,13333,21153
Marion County,18244,19251,19820,21155
Marshall County,30126,30870,31448,21157
Martin County,12570,13536,12929,21159
Mason County,16812,16923,17490,21161
Meade County,27989,29732,28602,21163
Menifee County,6539,6581,6306,21165
Mercer County,20809,21229,21331,21167
Metcalfe County,10025,10094,10099,21169
Monroe County,11737,11425,10963,21171
Montgomery County,22536,24491,26499,21173
Morgan County,13949,14219,13923,21175
Muhlenberg County,31845,31595,31499,21177
Nelson County,37487,40582,43437,21179
Nicholas County,6812,7134,7135,21181
Ohio County,22928,23611,23842,21183
Oldham County,46495,54266,60316,21185
Owen County,10542,10900,10841,21187
Owsley County,4844,4797,4755,21189
Pendleton County,14384,14884,14877,21191
Perry County,29415,28851,28712,21193
Pike County,68777,65719,65024,21195
Powell County,13236,13117,12613,21197
Pulaski County,56281,59950,63063,21199
Robertson County,2269,2251,2282,21201
Rockcastle County,16546,16911,17056,21203
Rowan County,22091,22362,23333,21205
Russell County,16282,17018,17565,21207
Scott County,33076,39637,47173,21209
Shelby County,33386,37800,42074,21211
Simpson County,16411,16998,17327,21213
Spencer County,11699,14929,17061,21215
Taylor County,22889,23755,24512,21217
Todd County,11954,11965,12460,21219
Trigg County,12600,13619,14339,21221
Trimble County,8183,8788,8809,21223
Union County,15454,15335,15007,21225
Warren County,92546,102121,113792,21227
Washington County,10920,11339,11717,21229
Wayne County,19902,20516,20813,21231
Webster County,14112,14004,13621,21233
Whitley County,35875,36253,35637,21235
Wolfe County,7092,7201,7355,21237
Woodford County,23225,23933,24939,21239
Louisiana,4469035,4576628,4533372,22000
Acadia Parish,58833,59524,61773,22001
Allen Parish,25441,25076,25764,22003
Ascension Parish,76639,89741,107215,22005
Assumption Parish,23343,23199,23421,22007
Avoyelles Parish,41501,41036,42073,22009
Beauregard Parish,32948,34130,35654,22011
Bienville Parish,15753,14852,14353,22013
Bossier Parish,99355,107477,116979,22015
Caddo Parish,251129,249593,254969,22017
Calcasieu Parish,183606,186417,192768,22019
Caldwell Parish,10554,10247,10132,22021
Cameron Parish,9965,9846,6839,22023
Catahoula Parish,10905,10258,10407,22025
Claiborne Parish,16850,16908,17195,22027
Concordia Parish,20221,19885,20822,22029
De Soto Parish,25489,26029,26656,22031
East Baton Rouge Parish,412899,413812,440171,22033
East Carroll Parish,9415,8374,7759,22035
East Feliciana Parish,21348,20093,20267,22037
Evangeline Parish,35502,34532,33984,22039
Franklin Parish,21264,20660,20767,22041
Grant Parish,18697,20386,22309,22043
Iberia Parish,73277,72641,73240,22045
Iberville Parish,33319,32697,33387,22047
Jackson Parish,15408,15674,16274,22049
Jefferson Parish,455406,456554,432552,22051
Jefferson Davis Parish,31432,31202,31594,22053
Lafayette Parish,190234,202053,221578,22055
Lafourche Parish,89745,92656,96318,22057
La Salle Parish,14276,14313,14890,22059
Lincoln Parish,42503,44580,46735,22061
Livingston Parish,91889,109208,128026,22063
Madison Parish,13724,12663,12093,22065
Morehouse Parish,31037,29355,27979,22067
Natchitoches Parish,39077,39107,39566,22069
Orleans Parish,484692,494294,343829,22071
Ouachita Parish,147256,149476,153720,22073
Plaquemines Parish,26749,29558,23042,22075
Pointe Coupee Parish,22761,22075,22802,22077
Rapides Parish,126390,127544,131613,22079
Red River Parish,9621,9295,9091,22081
Richland Parish,20989,20466,20725,22083
Sabine Parish,23434,23690,24233,22085
St. Bernard Parish,67230,71300,35897,22087
St. Charles Parish,48019,50670,52780,22089
St. Helena Parish,10553,10521,11203,22091
St. James Parish,21193,21399,22102,22093
St. John the Baptist Parish,43181,45296,45924,22095
St. Landry Parish,87662,83952,83384,22097
St. Martin Parish,48535,49890,52160,22099
St. Mary Parish,53539,53015,54650,22101
St. Tammany Parish,191270,217358,233740,22103
Tangipahoa Parish,100481,106987,121097,22105
Tensas Parish,6608,5700,5252,22107
Terrebonne Parish,104772,107811,111860,22109
Union Parish,22798,22765,22721,22111
Vermilion Parish,54104,55828,57999,22113
Vernon Parish,52539,51808,52334,22115
Washington Parish,43943,44880,47168,22117
Webster Parish,41814,41203,41207,22119
West Baton Rouge Parish,21604,21929,23788,22121
West Carroll Parish,12315,11958,11604,22123
West Feliciana Parish,15110,15431,15625,22125
Winn Parish,16889,15751,15313,22127
Maine,1274779,1318787,1328361,23000
Androscoggin County,103803,107352,107702,23001
Aroostook County,73943,72881,71870,23003
Cumberland County,265612,276275,281674,23005
Franklin County,29470,30226,30768,23007
Hancock County,51869,53745,54418,23009
Kennebec County,117074,120957,122151,23011
Knox County,39631,40571,39736,23013
Lincoln County,33628,34864,34457,23015
Oxford County,54715,57235,57833,23017
Penobscot County,144866,149726,153923,23019
Piscataquis County,17236,17614,17535,23021
Sagadahoc County,35187,35813,35293,23023
Somerset County,50857,51600,52228,23025
Waldo County,36257,38410,38786,23027
Washington County,33922,33319,32856,23029
York County,186709,198199,197131,23031
Maryland,5296647,5592379,5773552,24000
Allegany County,74909,73979,75087,24001
Anne Arundel County,489677,516171,537656,24003
Baltimore County,753947,789110,805029,24005
Calvert County,74556,86294,88737,24009
Caroline County,29735,31416,33066,24011
Carroll County,150881,165519,167134,24013
Cecil County,85964,96836,101108,24015
Charles County,120524,138560,146551,24017
Dorchester County,30671,31422,32618,24019
Frederick County,195277,221201,233385,24021
Garrett County,29852,30083,30097,24023
Harford County,218914,238402,244826,24025
Howard County,247876,268590,287085,24027
Kent County,19201,19695,20197,24029
Montgomery County,873874,921531,971777,24031
Prince George's County,801091,853271,863420,24033
Queen Anne's County,40580,44879,47798,24035
St. Mary's County,86196,96871,105151,24037
Somerset County,24746,25793,26470,24039
Talbot County,33806,36423,37782,24041
Washington County,131911,142084,147430,24043
Wicomico County,84638,92508,98733,24045
Worcester County,46559,50181,51454,24047
Baltimore city,651262,621560,620961,24510
Massachusetts,6349364,6403290,6547629,25000
Barnstable County,222239,221995,215888,25001
Berkshire County,134922,132563,131219,25003
Bristol County,534702,545437,548285,25005
Dukes County,15001,15743,16535,25007
Essex County,723496,728877,743159,25009
Franklin County,71540,71879,71372,25011
Hampden County,456280,461147,463490,25013
Hampshire County,152237,155383,158080,25015
Middlesex County,1465244,1454868,1503085,25017
Nantucket County,9522,9703,10172,25019
Norfolk County,650265,651538,670850,25021
Plymouth County,472858,486292,494919,25023
Suffolk County,691047,686600,722023,25025
Worcester County,750011,781265,798552,25027
Michigan,9938823,10051137,9883640,26000
Alcona County,11709,11517,10942,26001
Alger County,9860,9633,9601,26003
Allegan County,105631,110865,111408,26005
Alpena County,31297,30494,29598,26007
Antrim County,23102,24261,23580,26009
Arenac County,17279,17094,15899,26011
Baraga County,8739,8851,8860,26013
Barry County,56776,59621,59173,26015
Bay County,110271,109165,107771,26017
Benzie County,15986,17697,17525,26019
Berrien County,162491,158510,156813,26021
Branch County,45781,46733,45248,26023
Calhoun County,137991,138946,136146,26025
Cass County,51086,52358,52293,26027
Charlevoix County,26087,26534,25949,26029
Cheboygan County,26406,27274,26152,26031
Chippewa County,38543,38990,38520,26033
Clare County,31259,31701,30926,26035
Clinton County,64715,71700,75382,26037
Crawford County,14236,14644,14074,26039
Delta County,38528,37982,37069,26041
Dickinson County,27474,27067,26168,26043
Eaton County,103721,108073,107759,26045
Emmet County,31435,32856,32694,26047
Genesee County,436213,442508,425790,26049
Gladwin County,26042,26752,25692,26051
Gogebic County,17375,16811,16427,26053
Grand Traverse County,77655,83699,86986,26055
Gratiot County,42289,42479,42476,26057
Hillsdale County,46540,47476,46688,26059
Houghton County,36013,36169,36628,26061
Huron County,36088,34691,33118,26063
Ingham County,279409,282970,280895,26065
Ionia County,61539,64745,63905,26067
Iosco County,27343,26835,25887,26069
Iron County,13129,12397,11817,26071
Isabella County,63336,67788,70311,26073
Jackson County,158426,163047,160248,26075
Kalamazoo County,238602,243259,250331,26077
Kalkaska County,16565,17381,17153,26079
Kent County,574421,592210,602622,26081
Keweenaw County,2296,2068,2156,26083
Lake County,11274,11792,11539,26085
Lapeer County,87947,91739,88319,26087
Leelanau County,21125,21813,21708,26089
Lenawee County,98970,101367,99892,26091
Livingston County,156943,178819,180967,26093
Luce County,7028,6810,6631,26095
Mackinac County,11941,11596,11113,26097
Macomb County,788120,828765,840978,26099
Manistee County,24500,25178,24733,26101
Marquette County,64634,65785,67077,26103
Mason County,28283,28748,28705,26105
Mecosta County,40547,42908,42798,26107
Menominee County,25323,24719,24029,26109
Midland County,82797,83930,83629,26111
Missaukee County,14473,15099,14849,26113
Monroe County,145939,152374,152021,26115
Montcalm County,61270,63621,63342,26117
Montmorency County,10316,10222,9765,26119
Muskegon County,170208,173608,172188,26121
Newaygo County,47858,49452,48460,26123
Oakland County,1194346,1203253,1202362,26125
Oceana County,26857,27423,26570,26127
Ogemaw County,21644,22071,21699,26129
Ontonagon County,7817,7375,6780,26131
Osceola County,23199,23946,23528,26133
Oscoda County,9399,9108,8640,26135
Otsego County,23310,24758,24164,26137
Ottawa County,238413,255261,263801,26139
Presque Isle County,14421,14100,13376,26141
Roscommon County,25452,25678,24449,26143
Saginaw County,210051,207368,200169,26145
St. Clair County,164242,168209,163040,26147
St. Joseph County,62411,62273,61295,26149
Sanilac County,44511,44837,43114,26151
Schoolcraft County,8900,8905,8485,26153
Shiawassee County,71695,72757,70648,26155
Tuscola County,58263,57855,55729,26157
Van Buren County,76239,77009,76258,26159
Washtenaw County,322818,342234,344791,26161
Wayne County,2061180,1960263,1820584,26163
Wexford County,30475,32258,32735,26165
Minnesota,4919631,5119598,5303925,27000
Aitkin County,15221,16162,16202,27001
Anoka County,298164,319830,330844,27003
Becker County,30006,31753,32504,27005
Beltrami County,39638,42700,44442,27007
Benton County,34242,37409,38451,27009
Big Stone County,5816,5445,5269,27011
Blue Earth County,55931,59918,64013,27013
Brown County,26916,26260,25893,27015
Carlton County,31705,34367,35386,27017
Carver County,70243,83258,91042,27019
Cass County,27148,28683,28567,27021
Chippewa County,12937,12581,12441,27023
Chisago County,41116,50283,53887,27025
Clay County,51227,54122,58999,27027
Clearwater County,8432,8471,8695,27029
Cook County,5164,5158,5176,27031
Cottonwood County,12190,11967,11687,27033
Crow Wing County,54985,59606,62500,27035
Dakota County,355923,381829,398552,27037
Dodge County,17735,19391,20087,27039
Douglas County,32808,35110,36009,27041
Faribault County,16180,15255,14553,27043
Fillmore County,21113,21138,20866,27045
Freeborn County,32584,31704,31255,27047
Goodhue County,44139,45339,46183,27049
Grant County,6286,6165,6018,27051
Hennepin County,1116162,1117015,1152425,27053
Houston County,19725,19573,19027,27055
Hubbard County,18314,19652,20428,27057
Isanti County,31280,36400,37816,27059
Itasca County,43909,44338,45058,27061
Jackson County,11242,10595,10266,27063
Kanabec County,14987,16259,16239,27065
Kandiyohi County,41193,41487,42239,27067
Kittson County,5279,4846,4552,27069
Koochiching County,14351,13851,13311,27071
Lac qui Parle County,8073,7574,7259,27073
Lake County,11053,11014,10866,27075
Lake of the Woods County,4508,4374,4045,27077
Le Sueur County,25416,27016,27703,27079
Lincoln County,6425,6074,5896,27081
Lyon County,25437,25178,25857,27083
McLeod County,34906,36250,36651,27085
Mahnomen County,5190,5283,5413,27087
Marshall County,10147,9889,9439,27089
Martin County,21807,21063,20840,27091
Meeker County,22636,23213,23300,27093
Mille Lacs County,22304,25414,26097,27095
Morrison County,31743,32669,33198,27097
Mower County,38604,38659,39163,27099
Murray County,9169,8919,8725,27101
Nicollet County,29780,31193,32727,27103
Nobles County,20832,20709,21378,27105
Norman County,7442,7047,6852,27107
Olmsted County,124287,134953,144248,27109
Otter Tail County,57083,57420,57303,27111
Pennington County,13590,13639,13930,27113
Pine County,26429,28616,29750,27115
Pipestone County,9898,9453,9596,27117
Polk County,31370,31148,31600,27119
Pope County,11222,11142,10995,27121
Ramsey County,511272,497560,508640,27123
Red Lake County,4300,4191,4089,27125
Redwood County,16813,16100,16059,27127
Renville County,17147,16565,15730,27129
Rice County,56663,60832,64142,27131
Rock County,9720,9520,9687,27133
Roseau County,16343,16212,15629,27135
St. Louis County,200586,198443,200226,27137
Scott County,89510,117111,129928,27139
Sherburne County,64472,81179,88499,27141
Sibley County,15361,15126,15226,27143
Stearns County,133199,141813,150642,27145
Steele County,33684,35568,36576,27147
Stevens County,10053,9807,9726,27149
Swift County,11967,10232,9783,27151
Todd County,24402,24608,24895,27153
Traverse County,4137,3838,3558,27155
Wabasha County,21610,21706,21676,27157
Wadena County,13730,13799,13843,27159
Waseca County,19536,19288,19136,27161
Washington County,201214,219972,238136,27163
Watonwan County,11882,11377,11211,27165
Wilkin County,7135,6801,6576,27167
Winona County,49996,50756,51461,27169
Wright County,90022,110674,124700,27171
Yellow Medicine County,11235,10691,10438,27173
Mississippi,2844754,2905943,2967297,28000
Adams County,34339,32674,32297,28001
Alcorn County,34519,35688,37057,28003
Amite County,13565,13396,13131,28005
Attala County,19654,19265,19564,28007
Benton County,8031,8307,8729,28009
Bolivar County,40619,36305,34145,28011
Calhoun County,15060,14803,14962,28013
Carroll County,10751,10473,10597,28015
Chickasaw County,19447,18369,17392,28017
Choctaw County,9759,9026,8547,28019
Claiborne County,11837,10646,9604,28021
Clarke County,17796,16905,16732,28023
Clay County,21984,21245,20634,28025
Coahoma County,30617,27875,26151,28027
Copiah County,28763,29134,29449,28029
Covington County,19418,19480,19568,28031
DeSoto County,107252,136915,161252,28033
Forrest County,71934,72043,74934,28035
Franklin County,8419,8076,8118,28037
George County,19224,20699,22578,28039
Greene County,13287,13201,14400,28041
Grenada County,23273,22173,21906,28043
Hancock County,42945,47715,43929,28045
Harrison County,189577,197784,187105,28047
Hinds County,250752,247370,245285,28049
Holmes County,21608,20052,19198,28051
Humphreys County,11191,9974,9375,28053
Issaquena County,2274,1720,1406,28055
Itawamba County,22774,23254,23401,28057
Jackson County,131439,137913,139668,28059
Jasper County,18148,17496,17062,28061
Jefferson County,9723,8461,7726,28063
Jefferson Davis County,13954,12859,12487,28065
Jones County,64955,65871,67761,28067
Kemper County,10447,10551,10456,28069
Lafayette County,38687,42526,47351,28071
Lamar County,39877,46684,55658,28073
Lauderdale County,78168,78082,80261,28075
Lawrence County,13201,13097,12929,28077
Leake County,20930,22869,23805,28079
Lee County,75664,78529,82910,28081
Leflore County,37951,34178,32317,28083
Lincoln County,33191,33748,34869,28085
Lowndes County,61596,59237,59779,28087
Madison County,74711,84846,95203,28089
Marion County,25626,25706,27088,28091
Marshall County,34947,36052,37144,28093
Monroe County,37996,37464,36989,28095
Montgomery County,12191,11474,10925,28097
Neshoba County,28675,29364,29676,28099
Newton County,21834,21611,21720,28101
Noxubee County,12545,11973,11545,28103
Oktibbeha County,42920,43985,47671,28105
Panola County,34283,34684,34707,28107
Pearl River County,48518,50990,55834,28109
Perry County,12111,12088,12250,28111
Pike County,38957,38905,40404,28113
Pontotoc County,26811,28567,29957,28115
Prentiss County,25582,25608,25276,28117
Quitman County,10121,9238,8223,28119
Rankin County,115403,130354,141617,28121
Scott County,28455,28122,28264,28123
Sharkey County,6576,5707,4916,28125
Simpson County,27634,27633,27503,28127
Smith County,16163,16332,16491,28129
Stone County,13592,15189,17786,28131
Sunflower County,34382,31724,29450,28133
Tallahatchie County,14896,15348,15378,28135
Tate County,25386,26968,28886,28137
Tippah County,20890,21536,22232,28139
Tishomingo County,19155,19232,19593,28141
Tunica County,9240,10425,10778,28143
Union County,25344,26569,27134,28145
Walthall County,15161,15081,15443,28147
Warren County,49668,48836,48773,28149
Washington County,63035,55872,51137,28151
Wayne County,21372,21021,20747,28153
Webster County,10284,9979,10253,28155
Wilkinson County,10337,10123,9878,28157
Winston County,20157,19583,19198,28159
Yalobusha County,13052,12979,12678,28161
Yazoo County,28144,28107,28065,28163
Missouri,5596564,5790300,5988927,29000
Adair County,24968,24849,25607,29001
Andrew County,16489,16511,17291,29003
Atchison County,6424,6053,5685,29005
