Area,2000Pop,2005Pop,2010Pop,fips
Perry County,10199,10356,10445,5105
Phillips County,26438,23946,21757,5107
Pike County,11301,11216,11291,5109
Poinsett County,25617,25058,24583,5111
Polk County,20234,20203,20662,5113
Pope County,54492,57535,61754,5115
Prairie County,9523,9046,8715,5117
Pulaski County,361370,368274,382748,5119
Randolph County,18191,18086,17969,5121
St. Francis County,29330,28639,28258,5123
Saline County,83559,93493,107118,5125
Scott County,10986,10976,11233,5127
Searcy County,8240,8110,8195,5129
Sebastian County,115101,119426,125744,5131
Sevier County,15750,16298,17058,5133
Sharp County,17120,17391,17264,5135
Stone County,11496,11909,12394,5137
Union County,45633,43134,41639,5139
Van Buren County,16182,16869,17295,5141
Washington County,157805,183799,203065,5143
White County,67164,71355,77076,5145
Woodruff County,8738,8023,7260,5147
Yell County,21127,21141,22185,5149
California,33871653,35827943,37253956,6000
Alameda County,1443705,1441545,1510271,6001
Alpine County,1206,1219,1175,6003
Amador County,35101,38040,38091,6005
Butte County,203125,214752,220000,6007
Calaveras County,40535,45295,45578,6009
Colusa County,18799,20540,21419,6011
Contra Costa County,948865,999013,1049025,6013
Del Norte County,27505,28281,28610,6015
El Dorado County,156314,175003,181058,6017
Fresno County,798766,872470,930450,6019
Glenn County,26432,27393,28122,6021
Humboldt County,126508,131497,134623,6023
Imperial County,142334,156113,174528,6025
Inyo County,17955,18478,18546,6027
Kern County,661632,760726,839631,6029
Kings County,129470,145147,152982,6031
Lake County,58331,63811,64665,6033
Lassen County,33828,34488,34895,6035
Los Angeles County,9519315,9786373,9818605,6037
Madera County,123179,140313,150865,6039
Marin County,247301,244206,252409,6041
Mariposa County,17112,17972,18251,6043
Mendocino County,86253,87981,87841,6045
Merced County,211178,242554,255793,6047
Modoc County,9431,9565,9686,6049
Mono County,12839,13474,14202,6051
Monterey County,401752,405139,415057,6053
Napa County,124344,130381,136484,6055
Nevada County,92055,97250,98764,6057
Orange County,2846282,2940055,3010232,6059
Placer County,248270,312762,348432,6061
Plumas County,20817,21010,20007,6063
Riverside County,1545320,1931785,2189641,6065
Sacramento County,1223578,1360816,1418788,6067
San Benito County,53214,54647,55269,6069
San Bernardino County,1709479,1943924,2035210,6071
San Diego County,2813839,2938375,3095313,6073
San Francisco County,776764,763016,805235,6075
San Joaquin County,563660,656985,685306,6077
San Luis Obispo County,246746,258615,269637,6079
San Mateo County,707099,690078,718451,6081
Santa Barbara County,399293,408079,423895,6083
Santa Clara County,1682781,1675312,1781642,6085
Santa Cruz County,255614,251377,262382,6087
Shasta County,163242,175615,177223,6089
Sierra County,3559,3378,3240,6091
Siskiyou County,44305,44641,44900,6093
Solano County,394495,408181,413344,6095
Sonoma County,458586,465938,483878,6097
Stanislaus County,446850,500020,514453,6099
Sutter County,78947,88764,94737,6101
Tehama County,56060,60602,63463,6103
Trinity County,13011,13440,13786,6105
Tulare County,368011,407970,442179,6107
Tuolumne County,54522,56788,55365,6109
Ventura County,753230,794197,823318,6111
Yolo County,168660,186269,200849,6113
Yuba County,60249,66285,72155,6115
Colorado,4302086,4631888,5029196,8000
Adams County,348076,395146,441603,8001
Alamosa County,14965,15236,15445,8003
Arapahoe County,488829,524466,572003,8005
Archuleta County,9894,11496,12084,8007
Baca County,4517,3997,3788,8009
Bent County,5996,6118,6499,8011
Boulder County,269784,280241,294567,8013
Broomfield County,39202,46313,55889,8014
Chaffee County,16250,17105,17809,8015
Cheyenne County,2229,1939,1836,8017
Clear Creek County,9263,9150,9088,8019
Conejos County,8400,8337,8256,8021
Costilla County,3661,3562,3524,8023
Crowley County,5514,5677,5823,8025
Custer County,3508,3989,4255,8027
Delta County,27824,29389,30952,8029
Denver County,553805,551691,600158,8031
Dolores County,1844,1869,2064,8033
Douglas County,175732,243112,285465,8035
Eagle County,41623,47205,52197,8037
Elbert County,19855,22182,23086,8039
El Paso County,516934,565800,622263,8041
Fremont County,46140,46641,46824,8043
Garfield County,43786,49579,56389,8045
Gilpin County,4746,4810,5441,8047
Grand County,12433,13627,14843,8049
Gunnison County,14000,14456,15324,8051
Hinsdale County,792,794,843,8053
Huerfano County,7859,7145,6711,8055
Jackson County,1577,1449,1394,8057
Jefferson County,525449,519675,534543,8059
Kiowa County,1622,1467,1398,8061
Kit Carson County,8013,8060,8270,8063
Lake County,7814,7331,7310,8065
La Plata County,43957,47575,51334,8067
Larimer County,251489,275116,299630,8069
Las Animas County,15212,15582,15507,8071
Lincoln County,6089,5644,5467,8073
Logan County,20566,21694,22709,8075
Mesa County,116939,130194,146723,8077
Mineral County,831,814,712,8079
Moffat County,13178,12956,13795,8081
Montezuma County,23822,24514,25535,8083
Montrose County,33438,37227,41276,8085
Morgan County,27172,27727,28159,8087
Otero County,20311,19247,18831,8089
Ouray County,3747,4055,4436,8091
Park County,14519,16204,16206,8093
Phillips County,4485,4467,4442,8095
Pitkin County,14889,15399,17148,8097
Prowers County,14483,13480,12551,8099
Pueblo County,141490,149825,159063,8101
Rio Blanco County,5992,5945,6666,8103
Rio Grande County,12425,12208,11982,8105
Routt County,19679,21398,23509,8107
Saguache County,5904,6296,6108,8109
San Juan County,558,627,699,8111
San Miguel County,6593,7097,7359,8113
Sedgwick County,2747,2522,2379,8115
Summit County,23560,25487,27994,8117
Teller County,20541,21978,23350,8119
Washington County,4922,4912,4814,8121
Weld County,180766,222879,252825,8123
Yuma County,9846,9765,10043,8125
Connecticut,3405650,3506956,3574097,9000
Fairfield County,882622,897653,916829,9001
Hartford County,857184,878081,894014,9003
Litchfield County,182183,188912,189927,9005
Middlesex County,155088,162191,165676,9007
New Haven County,823993,847162,862477,9009
New London County,259108,269664,274055,9011
Tolland County,136377,147657,152691,9013
Windham County,109095,115636,118428,9015
Delaware,783559,845150,897934,10000
Kent County,126771,144585,162310,10001
New Castle County,500294,523343,538479,10003
Sussex County,156494,177222,197145,10005
District of Columbia,572086,567136,601723,11000
District of Columbia,572086,567136,601723,11001
Florida,15982571,17842038,18801310,12000
Alachua County,217964,233756,247336,12001
Baker County,22255,24832,27115,12003
Bay County,148270,162917,168852,12005
Bradford County,26096,28098,28520,12007
